comment,classification
"The edges between the person and the background are looking like in front of a green screen. Also, there is light coming from all sides, reflecting on the skin and helmet. That seems weird to me.","4,9"
Weird Pizza! The people are not looking at each other but stare into nothingness. The lighting is suspicious.,"2,4"
skin is too smooth,"2,6"
"back foot looks weird, nose is misshaped, pants zipper is weird","3,6"
"The content of the image is showing something shot spontaneoulsy, but for that, the lighting ist too perfect.",4
"fingers look weird, guy is missing a button on shirt, too much glare in his glasses","3,8"
Eyes and skin tone are strange,"2,6"
The reflection appears hazy,"1,4"
"Left arm of the girl seems off, also the upper edge of the mountain in the background","3,9"
Woman looks inserted to the picture,"7,10"
Skin looks very unnatural,"2,5"
"Skin looks unnatural, dog is blurry","1,9"
photo is lit too well,4
look like a computer game,7
building in the background has weird lines,4
very like a computer game,7
"tennis rack looks off: colour on right side, lines on left side","1,4"
far too long legs,"3,6"
oddly symmetric; theres a weird line between the hands of the two men,"2,4"
"if it's real, there are many blurr filters applied","1,5"
were are the eyes?,"2,6"
no one looks a the same spot,0
"I see only legs in the left background, no upper body",3
just... fake!,"5,7"
screen,"1,4"
"weird, unrealistic face","2,7"
too perfect,7
these eyes!,"2,6"
"heels are not straight, eyes don't match and who is pregnant and wears heels??","2,6"
"all the body hair is pefectly straight, that's not real",6
girl's mouth and eyes are off,"2,6"
weird proportions,"2,3"
right hand and right shoe sole seem distorted,"3,9"
very big hand,"3,9"
too perfect; no teacher smiles that happily ;),7
eyes,"2,6"
"long legs, feet are not toching the ground","3,9"
"the sun-lit parts in the hair of the girl on the right and in the middle, but not on the girl to the left. The face of the bigger girl/woman in the middle looks too yount and too similar to the girl on the left. The hands are too clumpy, no real fingers (girl in the middle).","2,7"
reflection in the window doesn't quite match,4
The pizza is fake ,0
right eye of right person is off,"2,6"
The surreal setting. Something with the fingers of the guy on the right does not seem right.,"2,3"
eyes,"2,6"
All the textures are very smooth,"1,5"
eye are real,0
"smiles and eyes seem unnatural; they don't look like happy best friends, but like models","2,7"
"The foot of the Lady on the right appears too far away from her on the left side of the desk. The eyes look weird (esp second person to the right and far right). The guy in the middle is strange (eyebrows, beard, chin, mouth, black point under the nose). Hands (number of fingers, form) is completely weird .","2,3,6"
Surreal setting. The little finger of the left hand on the guy to the right is too long and in a weird form.,3
.,0
"The guy looks too young, absolutely no wrinkles on the forehead, but grey hair. The ""Adobe Firefly"" logo in the left low corner .","2,6"
The overall impression is artificial. The shadow of the things on the table does not match the shadow of the pillows.,"4,9"
"parts of the face got lot of wrinkles, others not at all. The white of the eye is rather skill-coloured. Claws of the dog look strangely placed. Little details (holes in the button, details of the zipper) do not seem right.","2,3,6"
Body proportion,"2,6"
"Real
",0
"Real
",0
The faces are too smooth and bright and it looks animated,"2,4,5"
Theres something wrong withher thumb and background,"3,4"
How the face is ,0
The shadow of different parts of Mr. Obama (legs in comparison to jacket and face) don´t match.,4
The mans leg in the girls shoe,"3,6"
Reflection of the face on the helmet visor seems off,"2,4"
The ears look false.,"2,6"
Hands and chin profile seem inconsistent with face.,"2,6"
Face too perfect and smooth,"2,5"
eyebrows are disformed,"2,6"
The eyes,"2,6"
His face,"2,6"
The face,"2,6"
It looks overall artificial. Light/shadow on the pizza does not match light/shadow on the faces.,"4,7"
The faces look fake,"2,5"
There face,"2,6"
The pizza,0
4,4
The hands look completely strange. The shadows don´t match.,"3,4"
Her eye look strange,"2,6"
It looks overall unreal.,7
Looks re-touched.,5
"the beard-line on the face of the boy, the strange right hand of the girl.","2,3"
Hand and shadows somehow strange,"3,4"
More limbs than should be...,"3,9"
Jk,0
"How the guys are holding the cutlery, and no light coming inside from the window seems strange.","4,8"
"The face of the woman does not seem right (forehead too straight), situation in the middle of the table unclear.","2,8"
All the faces look strange in detail.,"2,6"
"The face is completely messed, also the thumbs a bit.","2,6"
The plumbing seems to make no sense. The shadow of the hand looks too straight over the cuttling of the trousers.,"3,4"
details...,0
"Missing details, over all synthetic look.","1,5"
.,0
The fingers😭,"3,6"
"Unreal look, details on his clothing.","1,5"
idk💀,0
the color gradient,0
"Hands, position of foot.","3,6"
bro look at they face😭,"2,6"
 ,"1,2,3,4,5,6,7,8,9,10"
  ,"1,4,5"
The fingers,"3,6"
She looks artificially placed in the surroundings. The position of feet do not match to the ground.,"7,9"
Hands,"3,6"
"Body of the microphone missing, fingers strange.","3,6"
"Details of teeth, hands, the line in front.","2,6"
little details,0
the girl in the middle looks fake,7
Almost too flawless. No details on under garments.,"1,5"
Details on fingers,6
Faces look weird,"2,6"
"Unreal situation, position of the rabbit.","3,9"
The racquet strings.,"1,4"
shadows,4
The hands and eye reflection.,"3,6"
"Details on fingers, position of feet in movement.","3,9"
kids look weird,"2,6"
Fingers,"3,6"
Fingers,"3,6"
Hand on cup is not natural.,"3,9"
everything looks very smooth.,0
Her left arm,"3,6"
arm looks strangley long,3
Racquet strings,"1,4"
face looks off,"2,6"
Mostly face and throat look unreal.,"2,6"
"Blur at right hand, shadow on the nose, weird shape of left hand.","1,4"
Fingers,"3,6"
Looks overall unreal.,"2,7"
skin too smooth and weird focus,"1,4"
s,0
The photo and lighting is too natural,4
Proportions,"2,6"
Window,0
The light reflecting on their eyes is on different sides of the cornea for left and right eyes,4
"face color, forehead no wrinkles, glove unnaturally wrinkled.","2,6"
"small face, small head, skin too clean, what is on the bedsheet?","2,3"
"haircolor and age do not fir, us flag is wrong",0
light on face too bright,4
Skin and features are too smooth; wrinkles are too perfect; blurry ear,"1,6"
sharpness of fore and background do not match.,"1,4"
No shadow on person in background; shadow in foreground looks weird; eyes look weird,"4,6"
The girl in the backgrounds eye has a dark mark over it,"3,9"
Everything is too smooth; toes are blurred and don't look real,"3,6"
"Too many teeth, wrinkles are inconsistent, and left eyelid is slightly mishaped. Exposed ear is also odd.","2,3"
The flower bouquet for the third bridesmaid from left is floating and not in synhch with her hands. ,"3,9"
had wrinkles inconsistent with facial tone,"2,6"
shadows not oriented with the main light ,4
Skin is too smooth,"2,6"
to structured,0
Unusual shadow on hair,4
"Eyes, ears, fingers are unnatural ","2,3"
"Light, color, hands on smaller child","1,4"
"Hole in face, discolorations ",3
-,"1,2,3,4,5,6,7,8,9,10"
-,"1,2,3,4,5,6,7,8,9,10"
Texture of the picture and skin and emotions,0
skin tone seems to be unreal.,"2,6"
eyes do not look real,"2,6"
lighting looks superficial,4
"las tuberías están muy desgastadas, el color no es natural, el fondo mate, mucho retoque. las conexiones de tuberías no muestra ninguna lógica aparente","1,4,5"
"El color de la piel, parece un dibujo animado. La luz artificial. Parece un video juego","1,4"
The hand and the microphone are out of proportion.,3
The hands look slightly suspicious. Some areas on the face look blurrier than others. ,"2,5"
The flowers are out of focus,1
The earrings on the lady on the left look odd. ,0
The eyes look abnormal. ,2
No reflection in the glass,4
"The lady is holding a fork up to a piece of pizza that she is also holding up, which is an unrealistic way to eat pizza. ","3,9"
The fingers look very elongated. ,3
All of the faces look abnormal. ,"2,6"
The hands are abnormal. ,3
The hands are somewhat blurry. the face looks abnormal,"1,2"
Hands,"3,6"
The eye looks abnormal as does the right hand. ,"2,3"
The quality is almost dreamlike. The hands look abnormal. ,"1,3"
Door on the right  ,0
The hands on the astronauts look abnormal as do the facial expressions. ,"2,3"
Weird face,"2,6"
"The faces look nonhuman, and the hands of the lady on the right are holding two cigarettes. Majority of the hands look abnormal.","2,3,9"
The writing on the chalkboard looks like fake words. ,"1,5"
The facial expression being forward facing is a hint towards the validity of this. ,0
There is an electrical cord on the shoulders. ,"3,9"
The labels on the food look abnormal. ,0
Dark shadow on one side of the face,4
proportions are weird.,"2,6"
the texture is very authentic.,0
too many imperfections to be ai,"1,5"
"because she is spoil the water and the cuality is too good
","1,4"
The freckles and skin tone ,0
clarity,"1,4"
The hair looks unrealistic,"1,5"
detailed attention,0
"Everyone, including the dog, looks like they are all melting","3,7"
All their coloring is off,"1,5"
His left arm looks a lot skinnier than his right arm and so does his left leg,3
"Eyes, nails","2,6"
Hands,"3,6"
The faces are distorted and smoothed out.,"2,5"
The numbers and letters on the jerseys aren't actually numbers or letters.,"1,5"
the female's fingers look unnatural.,"3,6"
These faces are so unreal they are terrifying.,"2,6,7"
"Too smooth to be a real picture.
","1,5"
The numbers look fake,0
NASA nametag doesn't say nasa,8
The letters on the door,0
flag pin and fingers,"1,6"
His left pupil is not circular.,6
Blurry background,4
eyes and midface are distorted,"2,6"
Fingers,"3,6"
"Fingers and watches
","6,9"
The daughter has 3 legs. The mother's fingers are fused strangely,3
"I mean, come on",0
A close inspection of the her hand the the wheels on the bucket will show that the surfaces blur together rather than being distinct objects like in real life. ,"1,9"
Hands and teeth,"3,6"
hands feet and face are all blended. signs of ai,"2,6"
Face,"2,6"
"the coca cola bottle doesn´t say ""COKE"" and it looks like it's posing",0
Eyes are significantly varying directions; faces/lips appear distorted,"2,6"
Lighting and edging around front people seems off,4
Colors are to vivid and shading on hands appears almost cartoonish/animation like,"1,5"
un docotor alzando el pulgar,0
a two womens ,"2,8"
a three mans,"3,6"
 ,"1,4,5"
Blonde hair is too big,"2,6"
.,0
njlnjk,0
ddd,0
Oscar is not real.,7
No wrinkles on face,"2,6"
Hands look different.,3
Images look cartoon-like,"1,5"
b,0
Shadowing seems inconsistent and the lines on some of the body parts seem to anoounced. Agreeesively bliurred background. The ears.,"4,5"
Hesistant due to lack of background detail and image quality inconsistencies.,"1,4"
"Background, both her left eye and nose seem off. Shading.","2,3,4"
Nothing is for sure but I do not find anyting that points me to a fake. ,0
"Eyes, Inconsistent background, Inconsistent shading, mangled hand","2,4"
I hope this is fake or her eyebrows need some work. Waht is up with that thumb?,"2,6,9"
Almost looks animated. Shading and background issues. Inconsistent shine highlights. ,"1,4"
Focus inconsistencies and mangled hands on the woman. ,"3,6"
The hand on the waste doesn't look female.,"2,6"
Cmon!,0
faces are messed up,"2,6"
right arm,"3,6"
"Textures seem too smooth, reminiscent of AI. Tie shape seems unrealistic. Inconsistent lighting in areas.","1,4"
"One guy's hand is in the burger?? Burger top is too smooth, burger is too messy. Weird hands and too smooth skin texture in areas. ","3,6"
Inconsistent shapes and too smooth textures ,"2,3"
"Shoes weird, tie weird, hands weird","3,6"
"Saw this before because the site crashed and I wanted to continue but I thought this was real because of the lighting and flag in the background  , didn't think to look at the inconsistent table shapes","4,8"
"Too smooth, stethoscope anatomy isn't right, the eyes seem AI. ","2,6"
"inconsistent tie pattern, weird flag pin, hands r mushed, eyes r bleeding, flag in the bg is not accurate","1,3"
eyes and bad stethoscope anatomy also random button placement,"2,3"
"The lighting looks excellent, so it is probably edited, and the person's skin has no imperfections, being extremely smooth. The smile is near perfect, as well. And the space background does not look realistic (it's hard to explain).","1,5"
shadowing and skin tone look real,0
"eyes look too big, distorted faces","2,6"
Real ,0
The lady in the center is cut and copied into the picture.,5
the face is cut and paste in.. the shine on the chin gave it away.,"2,5"
"it is supposed to be a rugged face, but the right side cheek seems too smooth","2,6"
Cars are from olden times but the person seems to be wearing today's clothes,8
eyebrows,"2,6"
facial expressions,"2,6"
face not proprotionate,"2,6"
The size of the head and body to hands is not proportional.,"2,6"
too perfect,7
too glossy skin,"1,5"
hair line look fake,"1,5"
Highlights from the sun glare,4
too perfect,7
looks real,0
facial expression look fake,"2,5"
Hand holding knife incorrectly,"3,6"
facial expressions,"2,6"
quality of image,1
Pixelated stethoscope,"1,5"
"The shadow casted at the face is pretty natural.
",4
Stethoscope is weirdly large ,"3,9"
too perfect,7
Reflections of photographer,0
The ladies seems to have the exact same face.,"2,6"
Shadows don't look right,4
dddddddddddddd adsfdfsfads fdfds,0
Some portions are grainy.,1
ddddddddddd,0
It seems artificial in first go to me ,"7,5"
asdf,0
because he looks like a small boy with a big body and it looks generated by ai.,"2,5"
.,0
Because of the blurry background,"1,4"
The bunny looks added.,5
Background looks drawn. Daughters look cartoonish.,"1,5"
one of the peoples hair looks fake,"1,5"
Lack of details in the face,2
looks like he is stepping out of a train - and the train is not there,"8,9"
The hands look crazy. Pizza looks fake.,"3,5"
looks to me like the person and also the way the thumb and other parts of the picture looks different to the specific culture i guess..,"2,6,8"
it is generated picture,5
Crazy hands and fake looking pizza,"3,5"
weird looking faces/eyes. Weird looking hands (extra fingers).,"2,3"
Weird eyes & hands,"2,3"
"se now deformation on hands, blurriness off background and forefront match. see no telling signs of misconceptions. Does not align to previous photographic styles witnesses in deepfakes.","1,4"
weird hands,"3,6"
Looks like a video game. The way they are holding utensils.,7
AI likes making pizza apparently.,0
"they eyes and alien-like fingers. Also, he is walking out of a meadow...","2,3,8"
face looks too perfect,"2,6"
the way they are seated and the focus,0
 ,"1,4,5"
no,0
111111111,"1,1,1,1,1,1,1,1,1"
Tattoo on hand ,6
The pizza is full ,0
Stethoscope ,0
the teeth,"2,6"
faces are not normal,"2,6"
Eyes looks weird,"2,6"
Looks real,0
Face skin is too shiny,"1,4"
The rendering of shadows gives it away,4
Unnatural shade on his forehead.,"1,4"
Right hand not complete,3
Hand is not complete,3
"it looks fake
",7
Right hand,"3,6"
The eyes are giving it away ,"2,6"
lady has different eye size and they are different postion ,"2,6"
Facial features are all giving it away,"2,6"
Fingers,"3,6"
a,0
It looks slightly edited - the shading specifically.,5
The shading here and there looks off - like the number on his chest.,"1,4"
Shading looks off.,4
Looks photoshopped.,5
Face features are exaggerated,"2,6"
Face features are exaggerated,"2,6"
Face features are exaggerated,"2,6"
Looks fake,"2,5,6"
shading,"1,4"
blurred,1
looks photoshopped,5
The skin tone seems artificial,5
the skin tone on the face is not natural,"1,5"
the color tone of face of man sitting in the mid looks unnatural,5
color tone looks cartoonish,"1,5"
the tattoo on the man's hand and the hand itself,"3,6"
the front shadow,4
color tone and hand size,0
gut feeling,0
unnatural color,5
background people reaction,0
Pthc,0
porque si,0
hrhfnfbier ceuf d,0
porque si ,0
porquw sue eifhf,0
cd,0
dg87uwhhghcrf,0
kchf,0
"el señor de la derecha tiene una hamburguesa gigante y dentro de ella  esta su mano
","3,9"
n jfhr hibr,0
oijcbjw r,0
it looks like a 3d model,"2,6"
the texture are so fake,5
quality too good,1
...........,0
hands,"3,6"
hands,"3,6"
real,0
Left girls hand isn’t smooth ,3
Lips looks fake.,"2,5"
faded back ground,4
The hair is like an animation so that's unreal,"2,5"
looks superimposed,"5,7"
old photo with good quality,1
gravity in space?,9
Faces look weird. ,"2,6"
"Hand on the bat, bridge of the nose, conflicting shadows.","2,4"
No visibile shadows,4
"lighting is different in background. where can a soldier get a bunny. model looks relaxed, staged. not in a war zone. ","4,8"
The kids face look different,"2,6"
Faces and especially the eyes look fake. ,"2,6"
the right side of his face looks different then the left side.,2
The way the knife is held,0
one extra pizza piece,"3,9"
The fingers look weird,3
The fingers and the pizza look weird.,"3,9"
Guess ,0
the head seems a little large and the nexk line looks odd,"2,6"
the shadow looks wrong,4
The shadow and face look wrong,"4,7"
Man's hand looks odd,"3,6"
left side of the face is younger than the right,"2,6"
the pizza in the box looks unreal,0
The neck,"2,3"
Head,"2,6"
Beard,6
Fingers,"3,6"
Buttons,0
.,0
The Eyes,"2,6"
Background looks like photoshop,5
"The hair and the hands doesn´t look natural. The hair ist to ""soft""","2,3"
The arm on the table and the stethoscope are deformed,"3,6"
"kl,",0
The girls are to sharp in compare to the background,"1,4"
Because their faces are strange,"2,7"
"Looks like a good painting, bute the womans hand is from the wrong side","1,3"
Errors in rendering the strings and where the hand meets the racket,"1,3"
O jsbwi bind hi,0
come on Ai can do ist better. This is real crab,0
"could be real with filter, but exept the pizza the food looks ""wrong""",0
"It could be a real image put through a filter, but I do think it’s AI as there are slight weirdnesses in the hands","6,9"
not the best AI produced image,"1,5"
The faces shape,"2,6"
the face looks deformed an there are to many laugh lines,"2,6"
Fingers are slightly weird and the way the cloth is rendered in the white area,"3,4"
"nobody sits ""in"" the stairs. The second: The outlines of the hair are to sharp","0,1"
The quality of the image is too good,1
fingers,"3,6"
the pixel grid doesnt seem to be the same from foreground to backround,"1,4"
The hand on his shoulder makes no anatomical sense,3
The second pizza is floating in the air.,"3,4,9"
"Blur of metal frame around window seems not the right blur intensity, area between hairstart and skin","1,4"
"the door, and it looks unnatural",0
I think it’s real but he’s missing two fingers,3
